height(m)	pixels(blue circle)	pixels(red circle)	im_w	im_h	id
100		165			50			4000	2250	07
95		175			54			4000	2250	08
90		185			57			4000	2250	09
85		195			60			4000	2250	10
80		210			64			4000	2250	11
75		220			68			4000	2250	12
70		235			73			4000	2250	13
65		260			79			4000	2250	14
60		280			85			4000	2250	15
55		305			93			4000	2250	16
50		335			103			4000	2250	17
45		370			112			4000	2250	18
40		420			128			4000	2250	19
35		472			143			4000	2250	20
30		570			172			4000	2250	21
25		690			207			4000	2250	22
20		880			265			4000	2250	23
15		1080			340			4000	2250	24
10		1720			500			4000	2250	25
5		XXXX			1480			4000	2250	26
